product_id,product_name,category,supplier,cost_price,retail_price,margin_pct,stock_qty,reorder_level,needs_reorder,warehouse,last_restocked,weight_kg,length_cm,width_cm,height_cm
PRD-005074,Product-5074,Sports,Supplier-75,137.74,167.18,17.61,7445,312,False,Warehouse-E,2026-03-02,24.53,94.0,97.0,39.0
PRD-005075,Product-5075,Food,Supplier-76,66.67,187.91,64.52,477,251,False,Warehouse-A,2025-10-25,36.75,67.0,31.0,19.0
PRD-005076,Product-5076,Toys,Supplier-77,86.57,119.31,27.44,5753,489,False,Warehouse-B,2025-11-21,10.32,16.0,66.0,18.0
PRD-005077,Product-5077,Beauty,Supplier-78,67.56,124.83,45.88,4885,368,False,Warehouse-C,2026-01-21,19.83,78.0,80.0,4.0
PRD-005078,Product-5078,Auto,Supplier-79,111.76,190.73,41.4,8881,458,False,Warehouse-D,2026-03-18,49.06,54.0,74.0,92.0
PRD-005079,Product-5079,Garden,Supplier-80,35.96,79.03,54.5,2527,41,False,Warehouse-E,2025-10-06,20.95,54.0,79.0,44.0
PRD-005081,Product-5081,Clothing,Supplier-82,43.11,115.95,62.82,710,425,False,Warehouse-B,2025-10-23,24.16,83.0,24.0,26.0
PRD-005082,Product-5082,Books,Supplier-83,89.72,197.54,54.58,8141,469,False,Warehouse-C,2025-11-28,24.79,25.0,54.0,33.0
PRD-005083,Product-5083,Home,Supplier-84,91.46,132.87,31.17,1006,27,False,Warehouse-D,2026-02-04,43.15,40.0,19.0,8.0
PRD-005084,Product-5084,Sports,Supplier-85,143.98,216.48,33.49,2882,423,False,Warehouse-E,2025-10-21,19.43,66.0,7.0,19.0
PRD-005085,Product-5085,Food,Supplier-86,135.35,189.93,28.74,5728,37,False,Warehouse-A,2025-12-07,30.91,89.0,10.0,21.0
PRD-005086,Product-5086,Toys,Supplier-87,80.67,197.54,59.16,2416,41,False,Warehouse-B,2025-10-14,7.34,40.0,50.0,13.0
PRD-005087,Product-5087,Beauty,Supplier-88,91.74,161.41,43.16,5759,231,False,Warehouse-C,2025-10-08,47.82,98.0,21.0,74.0
PRD-005089,Product-5089,Garden,Supplier-90,23.61,43.16,45.3,8293,195,False,Warehouse-E,2025-11-04,1.35,7.0,28.0,35.0
PRD-005090,Product-5090,Electronics,Supplier-91,111.96,222.83,49.76,7355,38,False,Warehouse-A,2025-11-02,13.26,35.0,37.0,47.0
PRD-005091,Product-5091,Clothing,Supplier-92,138.14,205.65,32.83,7711,498,False,Warehouse-B,2025-12-07,14.31,30.0,26.0,39.0
PRD-005092,Product-5092,Books,Supplier-93,81.26,224.88,63.87,9147,287,False,Warehouse-C,2026-02-12,33.39,95.0,15.0,68.0
PRD-005093,Product-5093,Home,Supplier-94,44.9,97.59,53.99,6830,170,False,Warehouse-D,2025-10-22,8.76,37.0,13.0,43.0
PRD-005094,Product-5094,Sports,Supplier-95,47.99,121.8,60.6,1811,50,False,Warehouse-E,2026-02-01,37.46,80.0,85.0,5.0
PRD-005095,Product-5095,Food,Supplier-96,154.23,461.29,66.57,8436,121,False,Warehouse-A,2026-03-25,1.06,52.0,4.0,39.0
PRD-005097,Product-5097,Beauty,Supplier-98,53.85,105.75,49.08,4224,187,False,Warehouse-C,2026-01-25,2.65,59.0,25.0,40.0
PRD-005098,Product-5098,Auto,Supplier-99,107.37,211.2,49.16,916,338,False,Warehouse-D,2025-12-07,29.62,45.0,2.0,42.0
PRD-005099,Product-5099,Garden,Supplier-100,70.9,155.46,54.39,5426,262,False,Warehouse-E,2026-02-25,21.74,35.0,5.0,88.0
PRD-005100,Product-5100,Electronics,Supplier-1,78.47,153.61,48.92,8553,351,False,Warehouse-A,2025-11-01,44.82,54.0,71.0,61.0
PRD-005101,Product-5101,Clothing,Supplier-2,106.24,187.49,43.34,423,360,False,Warehouse-B,2026-02-21,13.01,76.0,75.0,96.0
PRD-005102,Product-5102,Books,Supplier-3,21.53,61.09,64.76,589,381,False,Warehouse-C,2025-10-28,24.28,44.0,30.0,90.0
PRD-005103,Product-5103,Home,Supplier-4,101.06,268.11,62.31,711,64,False,Warehouse-D,2025-11-18,26.82,4.0,95.0,9.0
PRD-005105,Product-5105,Food,Supplier-6,97.56,175.54,44.42,4479,481,False,Warehouse-A,2026-03-27,7.35,85.0,5.0,97.0
PRD-005106,Product-5106,Toys,Supplier-7,119.13,171.98,30.73,9210,248,False,Warehouse-B,2025-11-10,11.83,5.0,53.0,99.0
PRD-005107,Product-5107,Beauty,Supplier-8,2.72,7.61,64.26,5342,451,False,Warehouse-C,2025-11-13,8.62,67.0,97.0,58.0
PRD-005108,Product-5108,Auto,Supplier-9,108.97,247.75,56.02,3463,208,False,Warehouse-D,2025-10-25,9.09,11.0,94.0,37.0
PRD-005109,Product-5109,Garden,Supplier-10,117.99,299.63,60.62,2832,449,False,Warehouse-E,2025-10-03,26.18,21.0,97.0,86.0
PRD-005110,Product-5110,Electronics,Supplier-11,186.92,413.27,54.77,8682,378,False,Warehouse-A,2026-03-30,24.79,7.0,45.0,15.0
PRD-005111,Product-5111,Clothing,Supplier-12,140.32,402.42,65.13,4853,335,False,Warehouse-B,2025-12-25,46.89,21.0,50.0,77.0
PRD-005113,Product-5113,Home,Supplier-14,128.65,195.18,34.09,8838,149,False,Warehouse-D,2026-03-17,34.39,45.0,8.0,93.0
PRD-005114,Product-5114,Sports,Supplier-15,133.37,292.24,54.36,8290,135,False,Warehouse-E,2025-11-20,6.75,98.0,41.0,82.0
PRD-005115,Product-5115,Food,Supplier-16,99.47,282.3,64.76,3372,158,False,Warehouse-A,2026-03-22,25.49,73.0,92.0,12.0
PRD-005116,Product-5116,Toys,Supplier-17,136.99,193.02,29.03,6573,202,False,Warehouse-B,2026-02-17,9.22,41.0,99.0,17.0
PRD-005117,Product-5117,Beauty,Supplier-18,167.29,386.94,56.77,6409,134,False,Warehouse-C,2025-11-25,12.83,95.0,19.0,10.0
PRD-005118,Product-5118,Auto,Supplier-19,138.33,312.12,55.68,7003,388,False,Warehouse-D,2025-10-30,44.45,59.0,46.0,52.0
PRD-005119,Product-5119,Garden,Supplier-20,15.0,44.14,66.02,5551,25,False,Warehouse-E,2026-02-21,0.36,20.0,19.0,47.0
PRD-005121,Product-5121,Clothing,Supplier-22,52.81,98.49,46.38,8764,180,False,Warehouse-B,2025-11-19,12.55,14.0,32.0,95.0
PRD-005122,Product-5122,Books,Supplier-23,2.99,8.0,62.62,2172,365,False,Warehouse-C,2025-10-04,5.8,50.0,99.0,56.0
PRD-005123,Product-5123,Home,Supplier-24,121.54,205.34,40.81,2045,348,False,Warehouse-D,2026-02-20,49.95,86.0,78.0,55.0
PRD-005124,Product-5124,Sports,Supplier-25,183.1,406.94,55.01,4103,174,False,Warehouse-E,2025-11-24,40.83,95.0,90.0,61.0
PRD-005125,Product-5125,Food,Supplier-26,97.7,227.12,56.98,5636,301,False,Warehouse-A,2025-12-18,32.48,12.0,84.0,88.0
PRD-005126,Product-5126,Toys,Supplier-27,32.1,65.01,50.62,3669,140,False,Warehouse-B,2026-02-05,11.77,59.0,21.0,77.0
PRD-005127,Product-5127,Beauty,Supplier-28,143.86,424.74,66.13,491,31,False,Warehouse-C,2025-10-11,41.92,39.0,20.0,16.0
PRD-005129,Product-5129,Garden,Supplier-30,112.58,331.68,66.06,9681,71,False,Warehouse-E,2026-01-22,45.92,100.0,5.0,85.0
PRD-005130,Product-5130,Electronics,Supplier-31,29.34,83.52,64.87,2641,41,False,Warehouse-A,2025-10-27,43.61,73.0,17.0,73.0
PRD-005131,Product-5131,Clothing,Supplier-32,36.33,69.33,47.6,5987,409,False,Warehouse-B,2026-01-17,39.94,23.0,8.0,13.0
PRD-005132,Product-5132,Books,Supplier-33,157.47,460.56,65.81,2348,325,False,Warehouse-C,2025-11-11,15.33,38.0,32.0,95.0
PRD-005133,Product-5133,Home,Supplier-34,83.59,211.53,60.48,1101,239,False,Warehouse-D,2026-01-23,48.12,1.0,17.0,77.0
PRD-005134,Product-5134,Sports,Supplier-35,81.59,166.14,50.89,7874,403,False,Warehouse-E,2025-10-11,8.83,50.0,69.0,58.0
PRD-005135,Product-5135,Food,Supplier-36,149.56,304.61,50.9,9728,454,False,Warehouse-A,2026-03-22,42.84,63.0,58.0,100.0
PRD-005137,Product-5137,Beauty,Supplier-38,30.71,70.14,56.22,269,322,True,Warehouse-C,2026-02-20,46.69,74.0,62.0,3.0
PRD-005138,Product-5138,Auto,Supplier-39,52.9,156.3,66.15,883,249,False,Warehouse-D,2026-01-22,21.82,9.0,72.0,27.0
PRD-005139,Product-5139,Garden,Supplier-40,123.41,257.73,52.12,9782,109,False,Warehouse-E,2026-01-26,31.8,92.0,45.0,2.0
PRD-005140,Product-5140,Electronics,Supplier-41,170.85,240.61,28.99,8291,323,False,Warehouse-A,2025-12-03,24.83,14.0,75.0,11.0
PRD-005141,Product-5141,Clothing,Supplier-42,175.47,215.28,18.49,3460,233,False,Warehouse-B,2026-02-02,36.67,51.0,41.0,76.0
PRD-005142,Product-5142,Books,Supplier-43,6.3,15.78,60.08,4523,188,False,Warehouse-C,2025-11-03,25.52,65.0,22.0,9.0
PRD-005143,Product-5143,Home,Supplier-44,170.13,337.2,49.55,3425,167,False,Warehouse-D,2025-11-29,29.44,19.0,25.0,64.0
PRD-005145,Product-5145,Food,Supplier-46,108.7,179.53,39.45,5304,185,False,Warehouse-A,2025-10-11,29.63,100.0,85.0,93.0
PRD-005146,Product-5146,Toys,Supplier-47,133.14,233.3,42.93,2153,411,False,Warehouse-B,2025-10-04,46.89,61.0,67.0,12.0
PRD-005147,Product-5147,Beauty,Supplier-48,98.5,271.74,63.75,3398,207,False,Warehouse-C,2026-03-18,7.38,95.0,72.0,74.0
PRD-005148,Product-5148,Auto,Supplier-49,194.45,344.31,43.52,2034,360,False,Warehouse-D,2026-01-01,5.07,23.0,62.0,34.0
PRD-005149,Product-5149,Garden,Supplier-50,16.58,32.66,49.23,976,66,False,Warehouse-E,2025-12-20,45.98,23.0,57.0,85.0
PRD-005150,Product-5150,Electronics,Supplier-51,60.28,148.21,59.33,9127,81,False,Warehouse-A,2025-11-20,25.49,26.0,89.0,18.0
PRD-005151,Product-5151,Clothing,Supplier-52,121.82,331.59,63.26,5702,48,False,Warehouse-B,2025-10-19,12.06,58.0,46.0,58.0
PRD-005153,Product-5153,Home,Supplier-54,187.27,345.84,45.85,7844,333,False,Warehouse-D,2025-10-23,15.07,100.0,40.0,7.0
PRD-005154,Product-5154,Sports,Supplier-55,112.24,218.75,48.69,9012,11,False,Warehouse-E,2025-12-15,44.36,46.0,71.0,35.0
PRD-005155,Product-5155,Food,Supplier-56,193.7,377.06,48.63,7832,278,False,Warehouse-A,2026-01-03,33.26,34.0,93.0,22.0
PRD-005156,Product-5156,Toys,Supplier-57,181.9,252.96,28.09,4375,448,False,Warehouse-B,2025-12-07,0.34,66.0,13.0,61.0
PRD-005157,Product-5157,Beauty,Supplier-58,70.51,105.67,33.27,5440,45,False,Warehouse-C,2025-11-28,42.28,4.0,59.0,3.0
PRD-005158,Product-5158,Auto,Supplier-59,108.4,306.34,64.61,3615,459,False,Warehouse-D,2025-12-28,34.82,80.0,26.0,72.0
PRD-005159,Product-5159,Garden,Supplier-60,178.86,386.51,53.72,9020,193,False,Warehouse-E,2025-12-28,36.95,29.0,59.0,49.0
PRD-005161,Product-5161,Clothing,Supplier-62,159.07,406.98,60.91,8829,407,False,Warehouse-B,2025-10-18,9.24,71.0,34.0,31.0
PRD-005162,Product-5162,Books,Supplier-63,110.65,154.18,28.23,8279,159,False,Warehouse-C,2026-01-28,23.87,15.0,97.0,28.0
PRD-005163,Product-5163,Home,Supplier-64,125.48,253.39,50.48,7875,281,False,Warehouse-D,2025-12-06,7.64,81.0,85.0,80.0
PRD-005164,Product-5164,Sports,Supplier-65,82.27,119.19,30.98,6622,44,False,Warehouse-E,2026-01-15,26.89,22.0,18.0,4.0
PRD-005165,Product-5165,Food,Supplier-66,111.48,174.46,36.1,4169,109,False,Warehouse-A,2026-03-25,1,54.0,68.0,70.0
PRD-005166,Product-5166,Toys,Supplier-67,164.98,304.59,45.84,5116,92,False,Warehouse-B,2025-12-18,23.38,52.0,32.0,42.0
PRD-005167,Product-5167,Beauty,Supplier-68,73.16,113.36,35.46,5201,466,False,Warehouse-C,2025-12-13,44.64,68.0,1.0,39.0
PRD-005169,Product-5169,Garden,Supplier-70,162.34,380.11,57.29,2554,120,False,Warehouse-E,2025-12-28,48.97,33.0,74.0,100.0
PRD-005170,Product-5170,Electronics,Supplier-71,81.94,139.82,41.4,10000,192,False,Warehouse-A,2026-01-03,19.34,4.0,36.0,54.0
PRD-005171,Product-5171,Clothing,Supplier-72,30.57,73.18,58.23,2627,197,False,Warehouse-B,2025-12-17,2.84,95.0,94.0,75.0
PRD-005172,Product-5172,Books,Supplier-73,94.1,193.98,51.49,9122,477,False,Warehouse-C,2026-02-06,41.97,39.0,34.0,97.0
PRD-005173,Product-5173,Home,Supplier-74,19.58,56.55,65.38,3995,93,False,Warehouse-D,2026-03-07,20.86,32.0,39.0,50.0
PRD-005174,Product-5174,Sports,Supplier-75,141.56,284.16,50.18,626,165,False,Warehouse-E,2025-12-15,47.46,56.0,45.0,57.0
PRD-005175,Product-5175,Food,Supplier-76,70.67,109.06,35.2,7154,344,False,Warehouse-A,2025-10-08,5.13,36.0,22.0,95.0
PRD-005177,Product-5177,Beauty,Supplier-78,142.79,297.08,51.94,6665,340,False,Warehouse-C,2025-12-15,2.98,56.0,79.0,88.0
PRD-005178,Product-5178,Auto,Supplier-79,79.56,138.52,42.56,9399,364,False,Warehouse-D,2026-03-08,15.99,12.0,20.0,9.0
PRD-005179,Product-5179,Garden,Supplier-80,49.05,98.29,50.1,6361,444,False,Warehouse-E,2026-02-16,34.06,79.0,29.0,32.0
PRD-005180,Product-5180,Electronics,Supplier-81,101.26,233.07,56.55,8432,42,False,Warehouse-A,2026-03-07,16.3,45.0,78.0,30.0
PRD-005181,Product-5181,Clothing,Supplier-82,181.32,370.19,51.02,9290,449,False,Warehouse-B,2025-10-20,39.95,100.0,64.0,23.0
PRD-005182,Product-5182,Books,Supplier-83,130.67,379.3,65.55,8455,120,False,Warehouse-C,2025-11-22,31.39,33.0,23.0,79.0
PRD-005183,Product-5183,Home,Supplier-84,152.6,317.69,51.97,5083,306,False,Warehouse-D,2025-10-17,0.88,66.0,98.0,98.0
PRD-005185,Product-5185,Food,Supplier-86,121.3,150.93,19.63,3382,109,False,Warehouse-A,2025-10-14,41.37,56.0,66.0,90.0
PRD-005186,Product-5186,Toys,Supplier-87,177.73,508.54,65.05,4343,454,False,Warehouse-B,2025-10-10,42.61,86.0,86.0,89.0
PRD-005187,Product-5187,Beauty,Supplier-88,44.24,119.71,63.04,3103,410,False,Warehouse-C,2026-01-14,19.35,79.0,5.0,72.0
PRD-005188,Product-5188,Auto,Supplier-89,20.67,59.91,65.5,7112,100,False,Warehouse-D,2025-12-19,18.33,1.0,2.0,85.0
PRD-005189,Product-5189,Garden,Supplier-90,69.1,178.63,61.32,3757,440,False,Warehouse-E,2026-02-09,0.57,2.0,50.0,89.0
PRD-005190,Product-5190,Electronics,Supplier-91,118.42,243.49,51.37,5098,170,False,Warehouse-A,2025-11-25,21.93,90.0,24.0,17.0
PRD-005191,Product-5191,Clothing,Supplier-92,18.01,24.29,25.85,7643,121,False,Warehouse-B,2025-10-21,45.44,75.0,92.0,8.0
PRD-005193,Product-5193,Home,Supplier-94,105.37,191.09,44.86,2833,60,False,Warehouse-D,2026-03-16,32.35,4.0,13.0,11.0
PRD-005194,Product-5194,Sports,Supplier-95,181.85,430.82,57.79,6270,406,False,Warehouse-E,2026-01-26,39.93,42.0,36.0,24.0
PRD-005195,Product-5195,Food,Supplier-96,31.11,74.18,58.06,4943,93,False,Warehouse-A,2025-12-03,14.74,69.0,48.0,10.0
PRD-005196,Product-5196,Toys,Supplier-97,141.01,179.06,21.25,5694,152,False,Warehouse-B,2025-12-14,44.54,73.0,42.0,21.0
PRD-005197,Product-5197,Beauty,Supplier-98,34.89,93.22,62.57,7660,293,False,Warehouse-C,2025-11-28,29.65,40.0,6.0,4.0
PRD-005198,Product-5198,Auto,Supplier-99,39.54,107.26,63.14,6047,159,False,Warehouse-D,2026-03-01,10.75,71.0,58.0,58.0
PRD-005199,Product-5199,Garden,Supplier-100,13.54,38.66,64.98,4198,200,False,Warehouse-E,2025-12-12,9.43,31.0,28.0,61.0
PRD-005201,Product-5201,Clothing,Supplier-2,153.93,359.33,57.16,1817,312,False,Warehouse-B,2025-11-19,8.79,82.0,27.0,20.0
PRD-005202,Product-5202,Books,Supplier-3,43.43,130.18,66.64,1924,428,False,Warehouse-C,2025-12-07,45.7,96.0,50.0,76.0
PRD-005203,Product-5203,Home,Supplier-4,93.13,131.3,29.07,7337,90,False,Warehouse-D,2026-02-08,30.15,41.0,34.0,83.0
PRD-005204,Product-5204,Sports,Supplier-5,6.48,17.48,62.93,5322,358,False,Warehouse-E,2026-02-26,40.49,77.0,14.0,41.0
PRD-005205,Product-5205,Food,Supplier-6,76.69,112.1,31.59,8529,84,False,Warehouse-A,2026-01-24,20.89,10.0,41.0,65.0
PRD-005206,Product-5206,Toys,Supplier-7,159.78,430.84,62.91,6310,244,False,Warehouse-B,2026-01-22,15.68,72.0,44.0,31.0
PRD-005207,Product-5207,Beauty,Supplier-8,179.1,517.15,65.37,151,485,True,Warehouse-C,2026-01-19,48.88,13.0,37.0,44.0
PRD-005209,Product-5209,Garden,Supplier-10,22.57,56.0,59.7,6760,247,False,Warehouse-E,2026-03-08,41.04,46.0,34.0,57.0
PRD-005210,Product-5210,Electronics,Supplier-11,54.99,66.98,17.9,5525,354,False,Warehouse-A,2025-12-04,44.29,68.0,79.0,18.0
PRD-005211,Product-5211,Clothing,Supplier-12,130.32,316.94,58.88,2906,133,False,Warehouse-B,2025-11-14,29.41,29.0,48.0,76.0
PRD-005212,Product-5212,Books,Supplier-13,114.95,338.63,66.05,9561,333,False,Warehouse-C,2026-03-29,32.25,53.0,31.0,58.0
PRD-005213,Product-5213,Home,Supplier-14,83.05,199.45,58.36,152,14,False,Warehouse-D,2025-10-13,23.43,70.0,98.0,39.0
